WN;BRI1_1C;BRI1_1E;BRI1_2C;BRI1_2E;BRI1_3C;BRI1_3E;BRI1_4C;BRI1_4E;BRI1_5C;BRI1_5E;BRI2_1C;BRI2_1E;BRI2_1RC ;BRI2_1RE;BRI2_2C;BRI2_2E;BRI2_3C;BRI2_3E;BRI2_4C;BRI2_4E;BRI2_5C;BRI2_5E;BRI3_1C;BRI3_1E;BRI3_2C;BRI3_2E;BRI3_3C;BRI3_3E;BRI3_4C;BRI3_4E;BRI3_5C;BRI3_5E
400,688818;0,076731;0,10282;0,067392;0,072189;0,059908;0,09485;0,07614;0,069986;0,073076;0,087737;0,077837;0,102008;0,062986;0,081997;0,053034;0,093096;0,083926;0,080343;0,070668;0,070408;0,076432;0,10208;0,055733;0,091666;0,085584;0,114975;0,087395;0,105048;0,097953;0,098138;0,061206;0,108733
402,552486;0,075738;0,102866;0,067357;0,072483;0,060072;0,094489;0,077008;0,06986;0,07308;0,087058;0,07595;0,10125;0,06166;0,083494;0,058454;0,0939;0,082503;0,080911;0,071484;0,072038;0,076555;0,10253;0,057755;0,09286;0,086611;0,113468;0,087555;0,105008;0,096022;0,097666;0,060832;0,108741
404,416155;0,073244;0,103104;0,067206;0,07335;0,06076;0,093678;0,079238;0,069617;0,073074;0,085682;0,071257;0,099328;0,058396;0,087413;0,071926;0,096099;0,079026;0,082524;0,073518;0,076223;0,076882;0,103836;0,062985;0,096065;0,089256;0,10977;0,087975;0,104965;0,091058;0,096557;0,059683;0,108817
406,279824;0,070456;0,103766;0,066856;0,074758;0,062406;0,093077;0,081904;0,069567;0,073045;0,085176;0,066144;0,0971;0,05496;0,092293;0,086697;0,099124;0,075421;0,084931;0,075767;0,081201;0,077324;0,10582;0,069377;0,100289;0,092437;0,105862;0,088513;0,105086;0,085162;0,095529;0,057781;0,109093
408,143493;0,068669;0,105043;0,066318;0,076673;0,065316;0,093365;0,084;0,069972;0,073067;0,087037;0,063148;0,095471;0,053244;0,096422;0,09592;0,102241;0,073691;0,087778;0,077205;0,08503;0,077856;0,108109;0,074784;0,104276;0,094999;0,103738;0,089017;0,105494;0,080733;0,095262;0,055381;0,109707
410,007162;0,068648;0,106947;0,065794;0,079062;0,069333;0,094867;0,084939;0,070853;0,073356;0,091715;0,06366;0,094948;0,0543;0,098563;0,096412;0,1048;0,07485;0,090703;0,077352;0,086535;0,078569;0,110162;0,078034;0,106967;0,096292;0,10429;0,089399;0,106156;0,079406;0,095985;0,053078;0,110733
411,870831;0,070336;0,109289;0,065654;0,081863;0,073744;0,097388;0,084806;0,071972;0,074204;0,098238;0,067299;0,095473;0,05783;0,098432;0,090105;0,106469;0,078468;0,093453;0,076505;0,08582;0,07961;0,111461;0,079343;0,107878;0,096447;0,106903;0,089671;0,106888;0,081399;0,097376;0,051678;0,112144
413,7345;0,073036;0,111796;0,066278;0,084929;0,077527;0,100326;0,084258;0,072999;0,075827;0,104647;0,07226;0,096601;0,062401;0,096719;0,082423;0,107341;0,083034;0,09596;0,075525;0,084118;0,081026;0,111786;0,079868;0,107252;0,096201;0,109957;0,089923;0,107487;0,085563;0,098821;0,05185;0,113812
415,598169;0,075895;0,114264;0,067848;0,088001;0,079815;0,102982;0,08413;0,073746;0,07819;0,10899;0,076388;0,097872;0,06621;0,094683;0,078762;0,107874;0,086883;0,098329;0,075318;0,083082;0,08262;0,111425;0,080777;0,105923;0,096416;0,111884;0,090268;0,107878;0,090055;0,099853;0,053752;0,115551
417,461838;0,078374;0,116644;0,070211;0,09074;0,080333;0,104879;0,084999;0,074289;0,08094;0,110313;0,078312;0,099102;0,067984;0,093546;0,081312;0,108674;0,089089;0,100737;0,076353;0,083924;0,083957;0,111117;0,082461;0,104925;0,097578;0,112109;0,090785;0,108199;0,093243;0,100461;0,056879;0,117163
